Group 58 - MI Hotspot – Consumer & TFB|$50 for 50GB & $50 for 100GB Mobile Internet Hotspot rate plans
Group 59 - MI Hotspot – Consumer & TFB|Excludes $50|100GB MI plans
Group 60 - GSM – TFB|GPO Member Benefit Plan
Group 63 - SyncUP Tracker Plans|(SUTRKTE SUTRKTI ZSUTRKTE ZSUTRKTI)
Group 64|Magenta MAX rate plans (Incl. First Responder),Magenta MAX Military rate plans,Magenta MAX DHH plans,Business Unlimited Ultimate
Group 65|T-Mobile ONE rate plans (Incl. Plus),TMO ONE DHH plans,Magenta rate plans (Incl. Plus First Responder 1.0 & MAX),Magenta DHH plans (Incl. 1.0 Plus & MAX),Essentials rate plans,Bus/Gov Unlimited rate plans (Incl. First Responder),Gov Unl DHH plans,Unlimited 55+ plans (Incl. Plus 1.0 & MAX),Military rate plans (Incl. Plus 1.0 & MAX),Business Unlimited (Select Advanced Ultimate)
Group 66|T-Mobile ONE rate plans,TMO ONE DHH plans,Magenta rate plans (Incl. Plus First Responder 1.0 & MAX),Magenta DHH plans (Incl. 1.0 Plus & MAX),Essentials rate plans,Bus/Gov Unlimited rate plans (Incl. First Responder),Gov Unl DHH plans,Military rate plans (Incl. Plus 1.0 & MAX),Business Unlimited (Select Advanced Ultimate)
Group 67 - 5GB or higher Mobile Internet rate plans|
Group 68 - All plans (Excludes 4/$100 Essentials)|
Group 69 - All plans (Excludes Select Choice & Excludes 4/$100 Essentials)|
Group 69N - All plans (Non-Segment)|
Group 69S - All plans (Segment)|
Group 7A - GSM - TFB|Simple Choice rate plans (Includes DHH plans),Business Unlimited Select Advanced & Ultimate
Group 70 - GSM - Consumer & TFB - All Plans excludes Essentials Promotional Plan|
Group 71 - GSM - TFB - Business Unlimited Select, Advanced & Ultimate|
Group 72 - GSM - TFB - Business Unlimited Advanced & Ultimate|
Group 73 - GSM - TFB - Business Unlimited Ultimate|
Group 74 - GSM - Consumer & TFB|TMO ONE Plus rate plans (Incl. 55+),Magenta Plus rate plans (Incl. First Responder & 55+),Magenta MAX rate plans (Incl. First responder & 55+),TMO ONE Plus Military rate plans,Magenta Plus Military rate plans,Magenta MAX Military rate plans,Business Unlimited Plus plans; Magenta Plus DHH plans,Magenta MAX DHH plans; Business Unlimited Ultimate plans,Plus Up Upsell SOCs (Incl Intl/Global Plus SOCs),MAXUp Upsell SOCs,Business Unlimited Upsell SOCs
Group 75 - GSM - Consumer & TFB - All Plans|
Group 76 - MI - Consumer & TFB - 15GB Camera Plans|
Group 77 - GSM - TFB - Apple Business Essentials plans & upsells|
Group 78 - MI - Consumer & TFB - 5GB or higher MI Excl $10 TFB Tab plans|
Group 79 - MI - Consumer & TFB - 2GB or higher, Data w/Paired Digits, APL Digits, SyncUP Drv, Pet, Tracker & Kids Watch|
Group 80 - GSM - TFB - Bus Unlimited Promo Plan ($650)|
Group 81 - GSM - Base Essentials|
Group 82 - GSM - Consumer & TFB|T-Mobile ONE rate plans,TMO ONE DHH plans,Magenta rate plans (Incl. First Responder 1.0),Magenta DHH plans (Incl.1.0),Bus/Gov Unlimited rate plans (Incl First Responder),Gov Unl DHH plans,Military rate plans (Incl.1.0),Business Unlimited (Advanced)
Group 83 - GSM - Consumer & TFB|TMO ONE Plus rate plans (Incl. 55+),Magenta Plus rate plans (Incl. First Responder & 55+),Magenta MAX rate plans (Incl. First responder & 55+),TMO ONE Plus Military rate plans,Magenta Plus Military rate plans,Magenta MAX Military rate plans,Business Unlimited Plus plans,Magenta Plus DHH plans,Magenta MAX DHH plans,Business Unlimited Ultimate plans,Plus Up Upsell SOCs (Incl Intl/Global Plus SOCs),MAXUp Upsell SOCs,Business Unlimited Upsell SOCs
Group W1 - GSM - Consumer & TFB - TMO ONE/Plus, Magenta/Max & Go5G/Plus|TMO ONE,TMO ONE Plus rate plans - including upsell SOCs,Magenta,Magenta MAX - including upsell SOCs,Business Unlimited Advanced - including upsell SOCs,Business Unlimited Ultimate- including upsell SOCs,Business Unlimited Ultimate+ - including upsell SOCs,Go5G Plans,Go5G Plus Plans,Go5G Plus Upsell SOCs
Group W1N - GSM - Consumer & TFB|
Group W1S - GSM - Consumer & TFB - Exclude Non-segment Plans|
Group W2 - GSM - Consumer & TFB - Go5G Plus|Business Unlimited Ultimate - including upsell SO0Cs,Business Unlimited Ultimate+ - including upsell SOCs,Sprint MAX,Go5G Plus Plans,Go5G Plus Upsell SOCs
Group W3 - GSM - Consumer & TFB - Go5G Plus + Max|Magenta MAX – including upsell SOCs,Business Unlimited Ultimate - including upsell SO0Cs,Business Unlimited Ultimate+ - including upsell SOCs,Go5G Plus Plans,Go5G Plus Upsell SOCs
Group W3N - GSM - Consumer & TFB - Magenta MAX – including upsell SOCs (Non-Segment)|Business Unlimited Ultimate Plans- including upsell SOCs,Business Unlimited Ult+ Plans - including upsell SOCs,Go5G Plus Plans (Non-Segment),Go5G Next Plans (Non-Segment),Go5G Plus Upsell SOCs,Business Unlimited Edge Plans,Business Unlimited Edge Upsells,Experience More Plans (Non-Segment),Experience Beyond Plans (Non-Segment)
Group W4 - GSM - Consumer & TFB - Go5G & Go5G Plus|Business Unlimited Advanced - including upsell SOCs,Business Unlimited Ultimate - including upsell SOCs,Business Unlimited Ultimate+ - including upsell SOCs,Go5G Plans,Go5G Plus Plans,Go5G Plus Upsell SOCs
Group W5 - MI - Consumer & TFB - All Premium Wearable & Data w/paid DIGITS|All Wearable Plus & Data w/ Paired DIGITS Plus MI rate plans
Group W6 - MI - Consumer & TFB - Premium Apple Watch Wearable Plans|Apple Watch DIGITS Plus plans
Group W7 - GSM - Consumer & TFB - Business Unlimited Ultimate, Business Unlimited Ultimate+, Go5G, Go5G Plus, Go5G Next|Business Unlimited Ultimate - including upsell SOCs,Business Unlimited Ultimate+ - including upsell SOCs,Go5G Plus Plans,Go5G Next Plans,Go5G Plus Upsell SOCs
Group W7N - GSM - Consumer & TFB - Exclude Business Unlimited Ultimate Plans (Under 13+)|
Group W7S - GSM - Consumer & TFB - Go5G Segment Plans|
Group W8 - GSM - Consumer & TFB - Go5G Next Plans|Go5G Next Plans
Group W8N - GSM - Consumer & TFB - Go5G Next Plans (Non-Segment)|
Group W8S - GSM - Consumer & TFB - Go5G Next Plans (Segment)|
Group W9 - MI - Consumer & TFB - Apple Watch DIGITS Plus & Standalone|Apple Watch DIGITS Plus Plans,Apple Watch Standalone DIGITS Plans ($25)
Group W10 - GSM - TFB - Business Unlimited $45 Portfolio|
Group W11 - MI - Consumer & TFB - $30+ BTS Plans|
Group W12 - MI - Consumer - Fairryspores Plans|
Group A6N - GSM - Consumer & TFB|Essentials Magenta & Go5G (Non-Segment),Experience More Plans (Non-Segment),Experience Beyond Plans (Non-Segment)
Group A6S - GSM - Consumer & TFB|Essentials Magenta & Go5G (Segment),Experience More Plans (Segment),Experience Beyond Plans (Segment)
Group AR6 - GSM - Consumer & TFB|Essentials Magenta & Go5G,Experience More Plans,Experience Beyond Plans
Group A7N - GSM - Consumer & TFB|Go5G Plus/Next (Non-Segment),Experience More Plans (Non-Segment),Experience Beyond Plans (Non-Segment)
Group A7S - GSM - Consumer & TFB|Go5G Plus/Next (Segment),Experience More Plans (Segment),Experience Beyond Plans (Segment)
Group AR7 - GSM - Consumer & TFB|Go5G Plus/Next,Experience More Plans,Experience Beyond Plans
Group A8N - GSM - Consumer & TFB|Go5G Next (Non-Segment),Experience Beyond Plans (Non-Segment
Group A8S - GSM - Consumer & TFB|Go5G Next (Segment),Experience Beyond Plans (Segment)
Group AR8 - GSM - Consumer & TFB|Go5G Next,Experience Beyond Plans
Group TB1 - MI - Consumer & TFB - Unlimited Tablet Plans $25+ after AP+HBD|
Group AR3 - GSM - Consumer|Magenta MAX – including upsell SOCs,Go5G Plus Plans,Go5G Next Plans,Go5G Plus Upsell SOCs,Experience More Plans,Experience Beyond Plans
Group A3N - GSM - Consumer|Magenta MAX – including upsell SOCs (Non-Segment),Go5G Plus Plans (Non-Segment),Go5G Next Plans (Non-Segment),Go5G Plus Upsell SOCs,Experience More Plans (Non-Segment),Experience Beyond Plans (Non-Segment)
Group W13 - MI - Consumer & TFB|Mobile Internet 15GB,Mobile Internet 50GB
Group 15A - GSM - Consumer & TFB - Experience Beyond Plans|
Group 15N - GSM - Consumer & TFB - Experience Beyond Plans (Non-Segment)|
Group 15S - GSM - Consumer & TFB - Experience Beyond Plans (Segment)|
Group WR8 - GSM - Consumer & TFB|Go5G Next Plans,Experience Beyond Plans
Group WN8 - GSM - Consumer & TFB|Go5G Next Plans (Non-Segment),Experience Beyond Plans (Non-Segment)
Group A8R - GSM - Consumer & TFB|Go5G Next,Experience Beyond Plans
Group AN8 - GSM - Consumer & TFB|Go5G Next (Non-Segment),Experience Beyond Plans (Non-Segment)
Group B1 - MI - Consumer & TFB - Standard+ Apple ($10+ TE)|
Group B2 - MI - Consumer & TFB - Premium Apple ($15 TE)|
Group B3 - MI - Consumer & TFB - Standard+ Android ($10+* TE)|
Group B4 - MI - Consumer & TFB - Premium Android ($15 TE)|
Group B5 - MI - Consumer & TFB - SyncUP Kids Watch ($10 TE)|
Group B6 - MI - Consumer & TFB - Limited Tablet ($10+TE)|
Group B7 - MI - Consumer & TFB - Unlimited Tablet ($20+ TE)|
Group B8 - MI - Consumer & TFB - Unlimited Premium Tablet ($25+ TE)|
Group B9 - MI - Consumer & TFB - Linkport (MI Hotspot Plans)|
Group B10 - MI - TFB - TFB Hotspot|
Group B11 - MI - Consumer & TFB - All Up Watches, MI and Tablet Plans|
