PAM (Website),SQL databse PAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flow indicator,flow_ind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcd jira,dcd_jira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
make model GRP 1,mk_mdl_grp_tier_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amount $ tier 1,mk_mdl_grp_tier_1_amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trade in condition id tier 1,mk_mdl_grp_tier_1_condition_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min fmv tier 1,mk_mdl_grp_tier_1_min_fmv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max fmv tier 1,mk_mdl_grp_tier_1_max_fmv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
make model GRP 2,mk_mdl_grp_tier_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amount $ tier 2,mk_mdl_grp_tier_2_amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trade in condition id tier 2,mk_mdl_grp_tier_2_condition_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min fmv tier 2,mk_mdl_grp_tier_2_min_fmv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max fmv tier 2,mk_mdl_grp_tier_2_max_fmv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
make model GRP 3,mk_mdl_grp_tier_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amount $ tier 3,mk_mdl_grp_tier_3_amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trade in condition id tier 3,mk_mdl_grp_tier_3_condition_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min fmv tier 3,mk_mdl_grp_tier_3_min_fmv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
