marketing_alias,manufacturer_name
APL WAT S6 40 SS,APL WAT S6 40 SS
APL WAT S6 NKE 40 AL,APL WAT S6 NKE 40 AL
APL WAT S6 44 AL,APL WAT S6 44 AL
APL WAT S6 44 SS,APL WAT S6 44 SS
APL WAT S6 NKE 44 AL,APL WAT S6 NKE 44 AL
APL IPHONE 12 MINI 64G,APL IPHONE 12 MINI 64G
APL IPHONE 12 MINI 128G,APL IPHONE 12 MINI 128G
APL IPHONE 12 MINI 256G,APL IPHONE 12 MINI 256G
APL IPHONE 12 PRO MAX 128G,APL IPHONE 12 PRO MAX 128G
APL IPHONE 12 PRO MAX 256G,APL IPHONE 12 PRO MAX 256G
APL IPHONE 12 PRO MAX 512G,APL IPHONE 12 PRO MAX 512G
APL IPHONE 12 64G,APL IPHONE 12 64G
APL IPHONE 12 128G,APL IPHONE 12 128G
APL IPHONE 12 256G,APL IPHONE 12 256G
APL IPHONE 12 PRO 128G,APL IPHONE 12 PRO 128G
APL IPHONE 12 PRO 256G,APL IPHONE 12 PRO 256G
APL IPHONE 12 PRO 512G,APL IPHONE 12 PRO 512G
APL IPAD PRO 12.9 5GEN 128G,APL IPAD PRO 12.9 5GEN 128G
APL IPAD PRO 12.9 5GEN 256G,APL IPAD PRO 12.9 5GEN 256G
APL IPAD PRO 12.9 5GEN 512G,APL IPAD PRO 12.9 5GEN 512G
APL IPAD PRO 12.9 5GEN 1T,APL IPAD PRO 12.9 5GEN 1T
APL IPAD PRO 12.9 5GEN 2T,APL IPAD PRO 12.9 5GEN 2T
APL IPAD PRO 11 3GEN 128G,APL IPAD PRO 11 3GEN 128G
APL IPAD PRO 11 3GEN 256G,APL IPAD PRO 11 3GEN 256G
APL IPAD PRO 11 3GEN 512G,APL IPAD PRO 11 3GEN 512G
APL IPAD PRO 11 3GEN 1T,APL IPAD PRO 11 3GEN 1T
APL IPAD PRO 11 3GEN 2T,APL IPAD PRO 11 3GEN 2T
APL IPAD MINI 6 64G,APL IPAD MINI 6 64G
APL IPAD MINI 6 256G,APL IPAD MINI 6 256G
APL IPAD 9TH GEN 64G,APL IPAD 9TH GEN 64G
APL IPAD 9TH GEN 256G,APL IPAD 9TH GEN 256G
APL WAT S7 41 AL,APL WAT S7 41 AL
APL WAT S7 41 SS,APL WAT S7 41 SS
APL WAT S7 41 NK AL,APL WAT S7 41 NK AL
APL WAT S7 45 AL,APL WAT S7 45 AL
APL WAT S7 45 SS,APL WAT S7 45 SS
APL WAT S7 45 NK AL,APL WAT S7 45 NK AL
APL WAT SE 40 NK,APL WAT SE 40 NK
APL WAT SE 44 NK,APL WAT SE 44 NK
iPhone13,APL IPHONE 13 MINI 128G
iPhone13,APL IPHONE 13 MINI 256G
iPhone13,APL IPHONE 13 MINI 512G
iPhone 13,APL IPHONE 13 MINI 128G
